iter	R2	RMSE
89	0.9528711312	8127.823173
90	0.9537418734	8052.389223
91	0.9545788913	7979.204649
92	0.9553820257	7908.346024
93	0.9561683443	7838.350454
94	0.9569081111	7771.923269
95	0.957660219	7703.80076
96	0.9583912957	7637.000775
97	0.9590888474	7572.714722
98	0.9597398869	7512.218889
99	0.9603676575	7453.420262
100	0.9610043358	7393.309717
101	0.9615659826	7339.874427
102	0.9621142752	7287.331718
103	0.9626790494	7232.810513
104	0.9631644008	7185.62598
105	0.963688129	7134.36053
106	0.9641818007	7085.697588
107	0.9646698432	7037.258774
108	0.9651557671	6988.696691
109	0.9656082388	6943.172373
110	0.9660353406	6899.925013
111	0.966421777	6860.560412
112	0.966815081	6820.262966
113	0.9672191314	6778.614987
114	0.9676049278	6738.608341
115	0.9679574021	6701.848389
116	0.9683083264	6665.048679
117	0.968635596	6630.545483
118	0.9689818121	6593.848274
119	0.969298179	6560.135451
120	0.9696048605	6527.288507
121	0.9698867716	6496.9481
122	0.9701604557	6467.356953
123	0.9704189715	6439.28094
124	0.9706953653	6409.127253
125	0.970957495	6380.398073
126	0.9712161282	6351.924751
127	0.971449934	6326.07442
128	0.9716762248	6300.953983
129	0.9718885936	6277.287581
130	0.9720991244	6253.737601
131	0.972296272	6231.603982
132	0.9724983522	6208.834683
133	0.9726910986	6187.039
134	0.9728892642	6164.550165
135	0.9730578092	6145.358064
136	0.9732416083	6124.360433
137	0.9734113136	6104.908793
138	0.9735712814	6086.516335
139	0.9737427676	6066.737619
140	0.9738992615	6048.63163
141	0.9740467063	6031.522875
142	0.9741987454	6013.830048
143	0.9743379307	5997.587258
144	0.9744831474	5980.593593
145	0.9746116099	5965.520196
146	0.9747352901	5950.971861
147	0.9748570145	5936.618774
148	0.9749823885	5921.798974
149	0.9751039432	5907.395151
150	0.9752121556	5894.542714
151	0.9753148429	5882.320537
152	0.9754188308	5869.917621
153	0.9755162953	5858.268935
154	0.9756142658	5846.536381
155	0.9757091227	5835.154219
156	0.9757907867	5825.337304
157	0.9759005087	5812.121395
158	0.975983999	5802.0449
159	0.9760590349	5792.973819
160	0.9761356101	5783.701979
161	0.9762193414	5773.546629
162	0.9762987933	5763.89376
163	0.9764060858	5750.832735
164	0.9764860968	5741.073434
165	0.9765992281	5727.245908
166	0.9766827566	5717.015133
167	0.9768077421	5701.672329
168	0.9769115474	5688.898075
169	0.977005023	5677.370387
170	0.9770617676	5670.361056
171	0.9771218219	5662.933434
172	0.9771789879	5655.853994
173	0.9772710728	5644.431509
174	0.9773225457	5638.03657
175	0.9773747419	5631.544371
176	0.9774327439	5624.321236
177	0.9774819832	5618.182049
178	0.9775588395	5608.586143
179	0.9776022484	5603.159052
180	0.977684938	5592.806422
181	0.9777266052	5587.582475
182	0.9777705815	5582.063726
183	0.9778183414	5576.063962
184	0.9778591531	5570.931947
185	0.9779264464	5562.459557
186	0.9779608574	5558.122138
187	0.9780218551	5550.425208
188	0.9780560017	5546.111793
189	0.9780949806	5541.183854
190	0.9781318331	5536.520707
191	0.9781646548	5532.364289
192	0.9782016253	5527.678758
193	0.9782355405	5523.376939
194	0.9782699653	5519.007046
195	0.9783013981	5515.013946
196	0.978361578	5507.360837
197	0.9783993639	5502.550144
198	0.9784313295	5498.477172
199	0.9784812278	5492.11324
200	0.9785149096	5487.813344
201	0.9785445675	5484.024358
202	0.9785757903	5480.032621
203	0.9786041409	5476.405566
204	0.9786476865	5470.829843
205	0.978675372	5467.281943
206	0.9787050941	5463.470485
207	0.9787280345	5460.526868
208	0.9787515	5457.514239
209	0.978774668	5454.53817
210	0.9787970321	5451.663818
211	0.9788414213	5445.9542
212	0.9788644938	5442.984099
213	0.9788845448	5440.401646
214	0.9789245286	5435.248288
215	0.9789493046	5432.052543
216	0.9789669863	5429.770716
217	0.978986448	5427.258076
218	0.979009021	5424.342276
219	0.9790275899	5421.942529
220	0.979063971	5417.237729
221	0.979082067	5414.896032
222	0.9790971434	5412.944313
223	0.9791131922	5410.865942
224	0.9791262271	5409.177291
225	0.9791415849	5407.187026
226	0.9791611032	5404.656548
227	0.9792000938	5399.597988
228	0.9792139389	5397.800612
229	0.9792255418	5396.293858
230	0.9792376347	5394.723034
231	0.9792532973	5392.687829
232	0.9792687261	5390.682257
233	0.9792872698	5388.270779
234	0.9793028868	5386.239072
235	0.9793159061	5384.544727
236	0.9793332564	5382.285913
237	0.9793470088	5380.494838
238	0.9793811781	5376.042119
239	0.9793945712	5374.295809
240	0.9794072526	5372.641774
241	0.9794195989	5371.03097
242	0.9794382586	5368.595528
243	0.9794476891	5367.364249
244	0.9794576942	5366.057646
245	0.9794701499	5364.430561
246	0.9794819177	5362.892884
247	0.9794981813	5360.767023
248	0.9795078315	5359.505219
249	0.9795205361	5357.843585
250	0.9795299802	5356.608053
251	0.9795585111	5352.873759
252	0.9795901638	5348.727816
253	0.9796030294	5347.041726
254	0.9796117836	5345.894156
255	0.9796219645	5344.559252
256	0.9796300055	5343.50469
257	0.9796549999	5340.225384
258	0.9796649438	5338.920167
259	0.9796906233	5335.548066
260	0.9797005397	5334.245309
261	0.9797075398	5333.325502
262	0.9797218775	5331.441025
263	0.979732676	5330.021286
264	0.9797415364	5328.856081
265	0.9797663872	5325.586662
266	0.9797755803	5324.376694
267	0.9797818444	5323.55207
268	0.9797962889	5321.650066
269	0.9798025636	5320.823626
270	0.9798143986	5319.264486
271	0.9798213065	5318.35423
272	0.9798308766	5317.09292
273	0.9798490834	5314.692491
274	0.9798553703	5313.863363
275	0.9798683035	5312.157286
276	0.9798913482	5309.116015
277	0.9799129294	5306.266307
278	0.9799212669	5305.164958
279	0.9799352829	5303.312995
280	0.9799555349	5300.635913
281	0.9799627063	5299.687605
282	0.9799815695	5297.192443
283	0.9799902703	5296.041138
284	0.9800030927	5294.343986
285	0.9800133007	5292.992494
286	0.9800359593	5289.991348
287	0.9800467489	5288.56166
288	0.9800566754	5287.246
289	0.9800631961	5286.381577
290	0.9800707925	5285.374351
291	0.980076712	5284.589353
292	0.9800826633	5283.800011
293	0.9800907006	5282.733806
294	0.9800986671	5281.676791
295	0.9801051895	5280.811218
296	0.980114206	5279.614427
297	0.9801259969	5278.048969
298	0.9801306688	5277.428561
299	0.9801359924	5276.721527
300	0.9801415838	5275.978817
301	0.9801474403	5275.200782
302	0.9801513128	5274.686256
303	0.9801692548	5272.301728
304	0.9801757123	5271.44324
305	0.980181173	5270.717167
306	0.9801880009	5269.809167
307	0.9801940201	5269.00858
308	0.9802009461	5268.087234
309	0.9802066196	5267.332379
310	0.9802116646	5266.661061
311	0.9802163557	5266.036755
312	0.9802231978	5265.126056
313	0.9802326811	5263.863552
314	0.9802401814	5262.864818
315	0.9802539251	5261.034249
316	0.9802577784	5260.520891
317	0.9802621656	5259.936351
318	0.9802718168	5258.650226
319	0.9802762427	5258.06031
320	0.9802807658	5257.457387
321	0.9802962723	5255.38984
322	0.9803022084	5254.598138
323	0.9803115593	5253.350761
324	0.9803169387	5252.633037
325	0.9803242537	5251.656911
326	0.9803325305	5250.552211
327	0.9803420772	5249.277727
328	0.9803459953	5248.754582
329	0.9803526172	5247.87029
330	0.9803596195	5246.935042
331	0.9803653272	5246.17258
332	0.9803690025	5245.681548
333	0.9803748508	5244.900124
334	0.9803880716	5243.133169
335	0.9803924952	5242.541825
336	0.9803962557	5242.039072
337	0.9804007568	5241.437234
338	0.9804059424	5240.743791
339	0.9804118857	5239.948924
340	0.9804162234	5239.368702
341	0.9804207073	5238.76887
342	0.9804277979	5237.820182
343	0.980441504	5235.985881
344	0.9804449695	5235.521978
345	0.9804546141	5234.230732
346	0.9804591935	5233.617528
347	0.9804724943	5231.836036
348	0.9804770947	5231.219735
349	0.9804821296	5230.545131
350	0.9804847606	5230.192583
351	0.9804894684	5229.561689
352	0.9804930342	5229.083782
353	0.9805023052	5227.841034
354	0.9805109186	5226.686162
355	0.9805158364	5226.026674
356	0.9805238007	5224.958481
357	0.9805293542	5224.213494
358	0.9805322548	5223.824355
359	0.9805437581	5222.280765
360	0.9805486997	5221.617535
361	0.9805528882	5221.055309
362	0.9805564765	5220.573605
363	0.9805630559	5219.69025
364	0.9805666911	5219.202116
365	0.9805717228	5218.526396
366	0.9805749817	5218.088699
367	0.9805808971	5217.294114
368	0.9805941245	5215.51693
369	0.9805965493	5215.191073
370	0.980606739	5213.82152
371	0.9806153987	5212.657322
372	0.9806249233	5211.376541
373	0.9806290873	5210.816506
374	0.9806331251	5210.273393
375	0.9806365752	5209.809285
376	0.9806401645	5209.326406
377	0.9806493635	5208.088626
378	0.9806528399	5207.620777
379	0.9806576913	5206.967818
380	0.9806603758	5206.60648
381	0.9806641492	5206.098509
382	0.9806681065	5205.565748
383	0.9806713932	5205.12321
384	0.9806815703	5203.752703
385	0.9806854051	5203.236194
386	0.9806900925	5202.604783
387	0.9806948018	5201.970333
388	0.9807007036	5201.175124
389	0.9807045349	5200.658826
390	0.9807105127	5199.853175
391	0.9807133236	5199.474301
392	0.980718994	5198.709897
393	0.9807224453	5198.244591
394	0.9807270497	5197.623769
395	0.9807297388	5197.261142
396	0.9807374214	5196.225025
397	0.9807407322	5195.77846
398	0.9807442659	5195.301767
399	0.98074845	5194.737291
400	0.9807506913	5194.434891
401	0.9807579582	5193.454318
402	0.9807627588	5192.806432
403	0.980765955	5192.375026
404	0.9807690466	5191.957711
405	0.980772566	5191.482604
406	0.9807751347	5191.135816
407	0.9807785702	5190.671968
408	0.9807819798	5190.211572
409	0.980784928	5189.813439
410	0.9807911066	5188.978986
411	0.9807946444	5188.501124
412	0.9807982372	5188.015783
413	0.9808017939	5187.535282
414	0.9808041627	5187.215234
415	0.980808841	5186.583098
416	0.9808108555	5186.310877
417	0.9808138445	5185.906937
418	0.9808169044	5185.49338
419	0.9808193797	5185.15882
420	0.9808223097	5184.762764
421	0.9808320936	5183.440032
422	0.9808350277	5183.0433
423	0.9808372916	5182.737161
424	0.9808417151	5182.138938
425	0.9808464404	5181.499817
426	0.9808494552	5181.09201
427	0.980851108	5180.868432
428	0.9808534721	5180.548607
429	0.9808570835	5180.060012
430	0.9808604762	5179.600963
431	0.9808656461	5178.901361
432	0.9808713365	5178.131229
433	0.9808780808	5177.218301
434	0.9808864547	5176.084569
435	0.9808884043	5175.820578
436	0.9808914636	5175.406305
437	0.9808953032	5174.886316
438	0.9808979578	5174.52678
439	0.9809019322	5173.988436
440	0.9809100416	5172.889838
441	0.9809135089	5172.420037
442	0.9809217147	5171.308035
443	0.9809231393	5171.114968
444	0.9809255681	5170.785764
445	0.9809274994	5170.523985
446	0.9809324884	5169.847693
447	0.9809348024	5169.533974
448	0.9809409935	5168.694546
449	0.9809475446	5167.806163
450	0.9809498525	5167.493156
451	0.9809522105	5167.173335
452	0.9809543138	5166.888035
453	0.9809555444	5166.72111
454	0.980962786	5165.738703
455	0.9809655623	5165.362022
456	0.9809715387	5164.551049
457	0.9809737533	5164.250505
458	0.9809794742	5163.474046
459	0.9809848206	5162.748298
460	0.980991637	5161.82287
461	0.9809928471	5161.658563
462	0.9809964464	5161.16982
463	0.9809987647	5160.855
464	0.9810029758	5160.283079
465	0.9810060831	5159.861042
466	0.9810108999	5159.206735
467	0.9810147767	5158.680061
468	0.9810195844	5158.026844
469	0.9810214786	5157.769452
470	0.9810259234	5157.16544
471	0.9810295927	5156.666758
472	0.9810312295	5156.444286
473	0.9810329199	5156.214523
474	0.9810343658	5156.017986
475	0.9810401792	5155.227713
476	0.9810428567	5154.863678
477	0.9810455681	5154.495033
478	0.9810511271	5153.739108
479	0.9810532693	5153.447782
480	0.9810562613	5153.040866
481	0.9810589821	5152.670799
482	0.981061197	5152.369519
483	0.9810670993	5151.566588
484	0.9810699135	5151.183702
485	0.9810726745	5150.808035
486	0.9810751142	5150.476057
487	0.9810788476	5149.968005
488	0.9810809725	5149.678811
489	0.9810824613	5149.476193
490	0.9810880348	5148.717566
491	0.9810929957	5148.042219
492	0.9810957511	5147.667081
493	0.9810978371	5147.383062
494	0.9811003804	5147.036758
495	0.9811016366	5146.865704
496	0.9811038208	5146.568275
497	0.9811067004	5146.176106
498	0.9811088676	5145.880949
499	0.9811144906	5145.115056
500	0.9811173319	5144.727996
501	0.981119024	5144.497476
502	0.9811210054	5144.227536
503	0.9811235789	5143.876903
504	0.9811267676	5143.44242
505	0.9811299859	5143.003866
506	0.9811318394	5142.751279
507	0.9811330978	5142.579782
508	0.9811357036	5142.224632
509	0.9811374499	5141.98661
510	0.9811410281	5141.49888
511	0.981142365	5141.31664
512	0.9811442791	5141.055697
513	0.9811488564	5140.431662
514	0.9811531671	5139.843885
515	0.981156347	5139.410262
516	0.9811583593	5139.135838
517	0.9811598567	5138.931635
518	0.9811612235	5138.745219
519	0.9811641518	5138.345822
520	0.9811656881	5138.136261
521	0.9811670045	5137.956708
522	0.981168214	5137.791713
523	0.9811718542	5137.295119
524	0.9811728585	5137.158109
525	0.981174307	5136.960479
526	0.9811756438	5136.77809
527	0.9811806093	5136.100554
528	0.9811826104	5135.827482
529	0.9811841965	5135.611038
530	0.9811866004	5135.282962
531	0.9811887571	5134.988603
532	0.9811917214	5134.583997
533	0.9811961108	5133.984826
534	0.9811985617	5133.650233
535	0.9812000483	5133.447272
536	0.9812010435	5133.311392
537	0.9812032441	5133.010932
538	0.9812054604	5132.708318
539	0.9812074006	5132.443381
540	0.9812114889	5131.885064
541	0.9812127615	5131.711262
542	0.9812153949	5131.351596
543	0.9812165216	5131.197713
544	0.9812189414	5130.867179
545	0.9812205734	5130.644247
546	0.9812218914	5130.4642
547	0.9812265244	5129.831266
548	0.9812276717	5129.674517
549	0.9812324815	5129.017309
550	0.9812347975	5128.700834
551	0.9812389545	5128.132723
552	0.9812412456	5127.819598
553	0.9812435048	5127.510807
554	0.9812462788	5127.131625
555	0.9812490289	5126.755675
556	0.981249644	5126.671594
557	0.9812506965	5126.527706
558	0.9812539628	5126.081131
559	0.9812551814	5125.914527
560	0.9812580081	5125.528013
561	0.9812606835	5125.162167
562	0.9812616216	5125.033883
563	0.981264888	5124.587178
564	0.9812679753	5124.164924
565	0.9812699736	5123.891605
566	0.9812732469	5123.443848
567	0.981276671	5122.975425
568	0.9812805989	5122.438032
569	0.9812823716	5122.195487
570	0.9812842176	5121.942898
571	0.9812874679	5121.49812
572	0.9812907012	5121.055636
573	0.9812922327	5120.846038
574	0.9812937569	5120.637421
575	0.9812982375	5120.024124
576	0.98129976	5119.815709
577	0.9813028627	5119.390964
578	0.9813045837	5119.155342
579	0.9813051919	5119.072079
580	0.9813077189	5118.726083
581	0.9813103788	5118.361881
582	0.9813120314	5118.135582
583	0.9813147442	5117.76409
584	0.9813154771	5117.663725
585	0.9813171424	5117.435656
586	0.9813185166	5117.247451
587	0.9813207179	5116.945952
588	0.9813223928	5116.716528
589	0.9813238807	5116.512725
590	0.981324834	5116.382136
591	0.981325496	5116.291453
592	0.9813265396	5116.148493
593	0.98132722	5116.055291
594	0.9813296675	5115.719988
595	0.9813350211	5114.986487
596	0.9813362366	5114.819932
597	0.9813373936	5114.661394
598	0.9813408708	5114.184893
599	0.9813413095	5114.124767
600	0.9813456207	5113.533916
601	0.9813474503	5113.283136
602	0.9813505142	5112.863161
603	0.981355129	5112.230543
604	0.9813566658	5112.019839
605	0.9813583738	5111.785666
606	0.981358863	5111.718599
607	0.9813609717	5111.429469
608	0.9813612731	5111.388143
609	0.9813619969	5111.288903
610	0.9813632121	5111.122271
611	0.9813646172	5110.929583
612	0.9813690035	5110.328066
613	0.9813713971	5109.999776
614	0.9813730736	5109.769829
615	0.9813755784	5109.42626
616	0.9813776307	5109.144742
617	0.9813802822	5108.780996
618	0.9813823799	5108.493219
619	0.9813840414	5108.265256
620	0.9813858326	5108.0195
621	0.9813877848	5107.751629
622	0.9813892781	5107.546732
623	0.9813898499	5107.46826
624	0.9813920452	5107.167008
625	0.9813935885	5106.955223
626	0.9813965061	5106.554806
627	0.9813968313	5106.510172
628	0.9813987078	5106.25261
629	0.9813990255	5106.209003
630	0.9814025613	5105.72367
631	0.9814035915	5105.582249
632	0.9814039541	5105.532484
633	0.9814064674	5105.187457
634	0.9814072245	5105.08352
635	0.9814088864	5104.855351
636	0.9814099511	5104.709179
637	0.9814113086	5104.522801
638	0.9814119918	5104.428984
639	0.981413812	5104.17906
640	0.9814164991	5103.810081
641	0.9814177004	5103.645112
642	0.9814190583	5103.45864
643	0.981420156	5103.307888
644	0.9814209948	5103.192688
645	0.9814221222	5103.037848
646	0.9814222609	5103.0188
647	0.981424463	5102.716349
648	0.9814263054	5102.463289
649	0.9814263254	5102.460548
650	0.9814272492	5102.33365
651	0.9814300382	5101.950535
652	0.9814303266	5101.910919
653	0.9814315942	5101.736782
654	0.9814345124	5101.335879
655	0.9814367232	5101.032129
656	0.9814391546	5100.698052
657	0.9814396551	5100.629288
658	0.9814415377	5100.370589
659	0.9814436342	5100.082495
660	0.9814447587	5099.927967
661	0.981445463	5099.831171
662	0.9814474248	5099.561566
663	0.9814489408	5099.353204
664	0.9814506442	5099.119087
665	0.981452626	5098.846678
666	0.9814531715	5098.771705
667	0.9814541336	5098.639447
668	0.9814556191	5098.435247
669	0.9814572547	5098.210403
670	0.9814579648	5098.112793
671	0.9814610512	5097.688465
672	0.9814620729	5097.547997
673	0.981462505	5097.488594
674	0.9814633918	5097.366665
675	0.9814642208	5097.252671
676	0.9814650995	5097.13185
677	0.9814666296	5096.92146
678	0.9814681287	5096.715318
679	0.9814698836	5096.473998
680	0.9814700403	5096.45245
681	0.9814713676	5096.269915
682	0.9814722988	5096.141844
683	0.9814733988	5095.990568
684	0.9814741232	5095.890936
685	0.9814752629	5095.734187
686	0.9814776566	5095.404954
687	0.9814795817	5095.140154
688	0.9814817204	5094.845956
689	0.9814832071	5094.64143
690	0.9814849866	5094.396622
691	0.9814865836	5094.176909
692	0.9814870113	5094.118075
693	0.9814882308	5093.950293
694	0.9814902247	5093.675944
695	0.9814921947	5093.404876
696	0.9814924999	5093.362887
697	0.9814936458	5093.2052
698	0.9814960773	5092.8706
699	0.9814969995	5092.743688
700	0.9814983457	5092.558418
701	0.9814994264	5092.40969
702	0.9815013894	5092.139511
703	0.9815027276	5091.955321
704	0.9815038306	5091.803513
705	0.9815041647	5091.757519
706	0.9815053012	5091.601078
707	0.9815075446	5091.292269
708	0.9815084512	5091.167461
709	0.9815098428	5090.97589
710	0.9815115506	5090.740777
711	0.9815137985	5090.431291
712	0.9815149264	5090.275997
713	0.9815152743	5090.2281
714	0.9815161392	5090.109014
715	0.9815167484	5090.025129
716	0.9815179686	5089.857113
717	0.9815187041	5089.755833
718	0.9815188178	5089.740185
719	0.9815206396	5089.489307
720	0.981521744	5089.337227
721	0.9815222054	5089.273684
722	0.981523151	5089.143465
723	0.9815262906	5088.711062
724	0.9815263983	5088.696233
725	0.9815288567	5088.357632
726	0.9815299956	5088.200755
727	0.9815316442	5087.973673
728	0.9815317713	5087.956156
729	0.9815321718	5087.900987
730	0.9815338301	5087.672562
731	0.9815355494	5087.435705
732	0.9815358551	5087.393597
733	0.9815364411	5087.312868
734	0.9815369909	5087.237112
735	0.9815378184	5087.123108
736	0.9815409293	5086.694504
737	0.9815420156	5086.54483
738	0.981542795	5086.437434
739	0.9815448153	5086.159046
740	0.9815462791	5085.95733
741	0.9815474983	5085.789325
742	0.9815478271	5085.744017
743	0.9815494588	5085.519138
744	0.9815498065	5085.47123
745	0.9815509649	5085.311573
746	0.9815528488	5085.051928
747	0.9815535179	5084.959712
748	0.981555978	5084.620626
749	0.9815568379	5084.502097
750	0.9815581787	5084.317273
751	0.9815585626	5084.264349
752	0.9815595752	5084.124769
753	0.9815613217	5083.88399
754	0.981562867	5083.670962
755	0.9815645498	5083.438951
756	0.9815659074	5083.251779
757	0.9815668632	5083.119989
758	0.9815680464	5082.95685
759	0.9815704829	5082.62088
760	0.9815724803	5082.345441
761	0.9815739018	5082.149422
762	0.9815747786	5082.028503
763	0.9815762621	5081.823906
764	0.9815774257	5081.663431
765	0.9815789754	5081.449688
766	0.9815811544	5081.149145
767	0.9815822017	5081.004685
768	0.981583968	5080.761038
769	0.9815843461	5080.708878
770	0.9815844087	5080.700244
771	0.9815858528	5080.501031
772	0.9815876244	5080.256633
773	0.9815881725	5080.18102
774	0.9815896063	5079.983204
775	0.9815914779	5079.724983
776	0.9815924292	5079.593728
777	0.9815931599	5079.492908
778	0.9815952503	5079.204475
779	0.9815968484	5078.983954
780	0.9815981929	5078.79842
781	0.9815996545	5078.596718
782	0.9816008403	5078.433075
783	0.981602548	5078.197394
784	0.9816030534	5078.127633
785	0.9816047529	5077.893071
786	0.9816061637	5077.698356
787	0.9816078116	5077.470885
788	0.9816085998	5077.362085
789	0.9816101086	5077.153824
790	0.9816118567	5076.912501
791	0.9816126671	5076.800619
792	0.9816138575	5076.63629
793	0.9816149374	5076.487195
794	0.9816162617	5076.304357
795	0.9816167917	5076.231183
796	0.98161746	5076.138909
797	0.9816184394	5076.003682
798	0.9816191032	5075.912032
799	0.9816198483	5075.809156
800	0.9816202355	5075.755694
801	0.9816212735	5075.612358
802	0.9816222509	5075.477389
803	0.9816229451	5075.381536
804	0.9816243317	5075.190054
805	0.9816249592	5075.1034
806	0.9816255839	5075.017128
807	0.9816262473	5074.925506
808	0.9816266202	5074.874015
809	0.9816277164	5074.722617
810	0.9816301061	5074.392567
811	0.9816309299	5074.27879
812	0.9816329098	5074.005317
813	0.9816338307	5073.878114
814	0.9816348288	5073.740249
815	0.9816367818	5073.470463
816	0.9816385441	5073.227003
817	0.9816395184	5073.092402
818	0.9816406704	5072.933254
819	0.981642092	5072.736847
820	0.9816423906	5072.695595
821	0.9816432999	5072.569959
822	0.9816447997	5072.362728
823	0.9816455608	5072.257567
824	0.9816461718	5072.173136
825	0.9816481383	5071.901404
826	0.981649216	5071.752483
827	0.9816504631	5071.580138
828	0.9816518937	5071.382436
829	0.9816525384	5071.293346
830	0.981653741	5071.127139
831	0.981654276	5071.053191
832	0.9816555298	5070.879909
833	0.9816563293	5070.769407
834	0.9816571013	5070.662701
835	0.9816579427	5070.546404
836	0.9816588545	5070.420365
837	0.981659868	5070.280277
838	0.9816610281	5070.119911
839	0.9816621643	5069.962849
840	0.9816629301	5069.856991
841	0.981663902	5069.722631
842	0.9816658519	5069.453056
843	0.9816667916	5069.323152
844	0.9816678918	5069.171042
845	0.9816689507	5069.024625
846	0.9816705208	5068.807536
847	0.9816715294	5068.668083
848	0.9816720175	5068.600587
849	0.9816736343	5068.377022
850	0.9816747416	5068.223902
851	0.9816766429	5067.960971
852	0.9816775011	5067.842282
853	0.9816784726	5067.707925
854	0.981679236	5067.602356
855	0.981681331	5067.312598
856	0.9816823208	5067.175693
857	0.9816841096	5066.928269
858	0.9816849871	5066.806902
859	0.9816862464	5066.632704
860	0.9816872027	5066.500414
861	0.981688084	5066.378509
862	0.9816890999	5066.237969
863	0.981689778	5066.144165
864	0.9816902294	5066.081718
865	0.9816912128	5065.945668
866	0.9816927335	5065.735271
867	0.9816938962	5065.574402
868	0.9816945497	5065.483995
869	0.9816952891	5065.381692
870	0.981696083	5065.271835
871	0.9816968313	5065.168305
872	0.9816977721	5065.03812
873	0.9816988212	5064.892953
874	0.9816999813	5064.732423
875	0.981701443	5064.530148
876	0.9817026387	5064.364667
877	0.9817040615	5064.167773
878	0.9817052052	5064.009479
879	0.9817061248	5063.882207
880	0.9817068978	5063.775213
881	0.9817077428	5063.65827
882	0.981709009	5063.483006
883	0.9817100136	5063.343955
884	0.9817115785	5063.12734
885	0.98171267	5062.97625
886	0.981713208	5062.901765
887	0.9817145943	5062.709862
888	0.9817156281	5062.566742
889	0.9817164992	5062.44614
890	0.9817173094	5062.333976
891	0.9817179043	5062.25162
892	0.9817188878	5062.115452
893	0.9817201239	5061.944303
894	0.9817211983	5061.795541
895	0.9817217763	5061.715517
896	0.9817226618	5061.592909
897	0.9817231918	5061.519522
898	0.9817238742	5061.425031
899	0.9817252235	5061.238189
900	0.9817261352	5061.111928
901	0.9817278629	5060.872681
902	0.981728865	5060.733902
903	0.9817297325	5060.613754
904	0.981730972	5060.442092
905	0.9817317001	5060.341245
906	0.981732231	5060.267713
907	0.98173305	5060.154283
908	0.9817339434	5060.030548
909	0.9817344185	5059.96473
910	0.9817359433	5059.753526
911	0.9817371763	5059.582741
912	0.9817383985	5059.413437
913	0.9817395934	5059.247911
914	0.9817410633	5059.04428
915	0.9817415997	5058.969962
916	0.981742347	5058.866437
917	0.9817430701	5058.76625
918	0.9817438637	5058.656307
919	0.9817459209	5058.371276
920	0.9817464919	5058.292162
921	0.9817472966	5058.180659
922	0.9817476992	5058.124886
923	0.9817482818	5058.044152
924	0.981749855	5057.826155
925	0.9817513507	5057.618894
926	0.9817522962	5057.487879
927	0.981754367	5057.200893
928	0.9817549985	5057.113374
929	0.9817554108	5057.056242
930	0.9817559224	5056.98533
931	0.9817563348	5056.928177
932	0.9817572051	5056.807561
933	0.9817576858	5056.740936
934	0.9817583332	5056.651206
935	0.9817592879	5056.518877
936	0.9817605186	5056.348295
937	0.981761676	5056.187859
